1	"169, 48, 124, 150, 137, 171, 173, 12, 115, 100"
2	"127, 50, 272, 251, 316, 313, 100, 14, 242, 279"
3	"347, 340, 320, 331, 271, 321, 342, 346, 318, 345"
4	"301, 327, 303, 359, 354, 360, 324, 258, 361, 362"
5	"430, 390, 434, 89, 168, 250, 228, 50, 169, 408"
6	"474, 134, 511, 483, 513, 488, 135, 481, 479, 221"
7	"50, 174, 172, 187, 127, 64, 357, 318, 483, 12"
8	"127, 187, 651, 511, 177, 183, 79, 188, 174, 227"
9	"691, 276, 6, 298, 487, 50, 483, 479, 201, 286"
10	"611, 178, 603, 357, 483, 488, 480, 64, 191, 185"
11	"745, 750, 318, 718, 723, 83, 86, 100, 208, 660"
12	"196, 318, 143, 15, 735, 191, 753, 133, 71, 282"
13	"50, 647, 124, 172, 48, 228, 522, 429, 174, 430"
14	"709, 430, 408, 168, 175, 525, 151, 792, 285, 524"
15	"936, 459, 292, 690, 15, 676, 237, 125, 927, 924"
16	"174, 127, 144, 64, 98, 180, 182, 22, 496, 79"
17	"150, 919, 475, 126, 269, 1, 100, 151, 276, 137"
18	"512, 170, 14, 60, 61, 963, 958, 242, 113, 137"
19	"8, 153, 211, 319, 887, 325, 435, 258, 202, 210"
20	"742, 148, 323, 15, 121, 243, 274, 87, 22, 181"
21	"56, 853, 127, 671, 185, 200, 98, 201, 558, 100"
22	"50, 109, 127, 187, 172, 174, 89, 153, 195, 430"
23	"408, 124, 694, 652, 516, 116, 530, 171, 189, 175"
24	"64, 11, 98, 318, 357, 56, 12, 180, 191, 127"
25	"173, 169, 408, 463, 258, 114, 50, 174, 257, 478"
26	"127, 50, 515, 313, 100, 302, 936, 316, 181, 315"
27	"246, 100, 508, 370, 1017, 515, 121, 298, 50, 295"
28	"89, 12, 56, 195, 50, 96, 98, 646, 176, 173"
29	"268, 12, 657, 269, 302, 98, 480, 189, 286, 303"
30	"531, 242, 315, 313, 1007, 50, 286, 435, 174, 304"
31	"1022, 175, 705, 32, 136, 514, 493, 811, 484, 611"
32	"246, 268, 50, 313, 250, 276, 475, 298, 100, 181"
33	"313, 348, 328, 343, 271, 292, 333, 751, 678, 682"
34	"329, 299, 1024, 242, 899, 324, 292, 898, 990, 286"
35	"300, 937, 259, 333, 879, 680, 332, 266, 322, 258"
36	"882, 261, 1026, 358, 883, 885, 878, 307, 339, 748"
37	"50, 68, 56, 195, 174, 147, 172, 117, 127, 403"
38	"252, 419, 451, 155, 1030, 97, 95, 1031, 35, 423"
39	"352, 937, 294, 288, 270, 302, 269, 258, 319, 347"
40	"345, 337, 750, 754, 303, 270, 321, 347, 268, 316"
41	"430, 474, 209, 516, 205, 168, 50, 175, 180, 318"
42	"174, 496, 50, 143, 172, 181, 71, 404, 210, 69"
43	"318, 966, 64, 313, 272, 173, 196, 496, 316, 50"
44	"89, 50, 195, 434, 168, 429, 172, 181, 174, 228"
45	"50, 13, 181, 257, 127, 1, 100, 276, 109, 764"
46	"909, 1062, 1024, 100, 286, 690, 262, 305, 313, 127"
47	"269, 262, 305, 302, 340, 306, 268, 303, 286, 258"
48	"50, 661, 195, 483, 511, 480, 187, 172, 174, 132"
49	"1021, 93, 320, 324, 179, 428, 346, 547, 100, 475"
50	"253, 1084, 324, 1010, 276, 1008, 508, 475, 547, 268"
51	"173, 50, 172, 181, 144, 64, 83, 210, 496, 203"
52	"318, 100, 126, 427, 275, 19, 498, 1009, 191, 657"
53	"64, 174, 50, 100, 258, 15, 568, 628, 151, 199"
54	"475, 676, 268, 272, 250, 288, 313, 333, 298, 346"
55	"144, 22, 89, 79, 273, 118, 174, 56, 181, 50"
56	"96, 64, 50, 22, 174, 195, 173, 172, 181, 210"
57	"64, 318, 50, 496, 173, 117, 237, 588, 28, 126"
58	"175, 640, 173, 42, 652, 1103, 475, 45, 730, 89"
